WL,Power
1524.000000,-80.000000
1524.005000,-80.000000
1524.010000,-80.000000
1524.015000,-80.000000
1524.020000,-80.000000
1524.025000,-78.172939
1524.030000,-72.082735
1524.035000,-79.695490
1524.040000,-80.000000
1524.045000,-74.472211
1524.050000,-77.001081
1524.055000,-76.805367
1524.060000,-76.860219
1524.065000,-80.000000
1524.070000,-80.000000
1524.075000,-80.000000
1524.080000,-80.000000
1524.085000,-80.000000
1524.090000,-74.882413
1524.095000,-79.456102
1524.100000,-80.000000
1524.105000,-80.000000
1524.110000,-80.000000
1524.115000,-78.502164
1524.120000,-79.251082
1524.125000,-80.000000
1524.130000,-75.117902
1524.135000,-80.000000
1524.140000,-80.000000
1524.145000,-80.000000
1524.150000,-79.905573
1524.155000,-75.184202
1524.160000,-79.600072
1524.165000,-80.000000
1524.170000,-80.000000
1524.175000,-80.000000
1524.180000,-80.000000
1524.185000,-80.000000
1524.190000,-80.000000
1524.195000,-80.000000
1524.200000,-78.523808
1524.205000,-74.359833
1524.210000,-80.000000
1524.215000,-80.000000
1524.220000,-80.000000
1524.225000,-80.000000
1524.230000,-79.780588
1524.235000,-69.248825
1524.240000,-79.980101
1524.245000,-78.985157
1524.250000,-80.000000
1524.255000,-80.000000
1524.260000,-80.000000
1524.265000,-79.439183
1524.270000,-79.177468
1524.275000,-80.000000
1524.280000,-74.690452
1524.285000,-79.610850
1524.290000,-71.532780
1524.295000,-74.754456
1524.300000,-80.000000
1524.305000,-80.000000
1524.310000,-80.000000
1524.315000,-77.243010
1524.320000,-78.564642
1524.325000,-80.000000
1524.330000,-80.000000
1524.335000,-80.000000
1524.340000,-80.000000
1524.345000,-80.000000
1524.350000,-79.473544
1524.355000,-72.892843
1524.360000,-78.218824
1524.365000,-74.849990
1524.370000,-75.357838
1524.375000,-80.000000
1524.380000,-80.000000
1524.385000,-80.000000
1524.390000,-80.000000
1524.395000,-80.000000
1524.400000,-80.000000
1524.405000,-80.000000
1524.410000,-80.000000
1524.415000,-80.000000
1524.420000,-80.000000
1524.425000,-80.000000
1524.430000,-80.000000
1524.435000,-80.000000
1524.440000,-80.000000
1524.445000,-80.000000
1524.450000,-72.996203
1524.455000,-70.883718
1524.460000,-80.000000
1524.465000,-80.000000
1524.470000,-80.000000
1524.475000,-80.000000
1524.480000,-74.980861
1524.485000,-79.038888
1524.490000,-80.000000
1524.495000,-80.000000
1524.500000,-69.129205
1524.505000,-79.275280
1524.510000,-80.000000
1524.515000,-78.603247
1524.520000,-79.658572
1524.525000,-80.000000
1524.530000,-80.000000
1524.535000,-80.000000
1524.540000,-80.000000
1524.545000,-80.000000
1524.550000,-77.828527
1524.555000,-76.228494
1524.560000,-80.000000
1524.565000,-80.000000
1524.570000,-80.000000
1524.575000,-80.000000
1524.580000,-80.000000
1524.585000,-80.000000
1524.590000,-80.000000
1524.595000,-80.000000
1524.600000,-80.000000
1524.605000,-76.618128
1524.610000,-75.906155
1524.615000,-80.000000
1524.620000,-80.000000
1524.625000,-80.000000
1524.630000,-73.305912
1524.635000,-80.000000
1524.640000,-80.000000
1524.645000,-80.000000
1524.650000,-76.580224
1524.655000,-76.384584
1524.660000,-80.000000
1524.665000,-80.000000
1524.670000,-74.198989
1524.675000,-68.440779
1524.680000,-77.546797
1524.685000,-80.000000
1524.690000,-80.000000
1524.695000,-80.000000
1524.700000,-80.000000
1524.705000,-80.000000
1524.710000,-80.000000
1524.715000,-80.000000
1524.720000,-80.000000
1524.725000,-80.000000
1524.730000,-80.000000
1524.735000,-80.000000
1524.740000,-80.000000
1524.745000,-79.782715
1524.750000,-79.899567
1524.755000,-80.000000
1524.760000,-80.000000
1524.765000,-80.000000
1524.770000,-78.163873
1524.775000,-72.176776
1524.780000,-80.000000
1524.785000,-80.000000
1524.790000,-79.667367
1524.795000,-72.030665
1524.800000,-79.493157
1524.805000,-75.231071
1524.810000,-80.000000
1524.815000,-80.000000
1524.820000,-80.000000
1524.825000,-78.393672
1524.830000,-79.795785
1524.835000,-80.000000
1524.840000,-80.000000
1524.845000,-80.000000
1524.850000,-80.000000
1524.855000,-80.000000
1524.860000,-80.000000
1524.865000,-80.000000
1524.870000,-80.000000
1524.875000,-76.277012
1524.880000,-77.160601
1524.885000,-80.000000
1524.890000,-80.000000
1524.895000,-74.962427
1524.900000,-73.316472
1524.905000,-79.298836
1524.910000,-80.000000
1524.915000,-77.324015
1524.920000,-68.566248
1524.925000,-80.000000
1524.930000,-80.000000
1524.935000,-80.000000
1524.940000,-79.517634
1524.945000,-76.177016
1524.950000,-80.000000
1524.955000,-80.000000
1524.960000,-79.200144
1524.965000,-74.434853
1524.970000,-72.349484
1524.975000,-80.000000
1524.980000,-80.000000
1524.985000,-77.012934
1524.990000,-70.339469
1524.995000,-70.102193
1525.000000,-77.237390
1525.005000,-80.000000
1525.010000,-80.000000
1525.015000,-80.000000
1525.020000,-80.000000
1525.025000,-80.000000
1525.030000,-77.003584
1525.035000,-73.579109
1525.040000,-80.000000
1525.045000,-80.000000
1525.050000,-80.000000
1525.055000,-80.000000
1525.060000,-80.000000
1525.065000,-79.814758
1525.070000,-76.727393
1525.075000,-79.271808
1525.080000,-75.902009
1525.085000,-75.530774
1525.090000,-78.241764
1525.095000,-80.000000
1525.100000,-80.000000
1525.105000,-80.000000
1525.110000,-75.656070
1525.115000,-78.035494
1525.120000,-80.000000
1525.125000,-80.000000
1525.130000,-80.000000
1525.135000,-78.749282
1525.140000,-73.928309
1525.145000,-71.715792
1525.150000,-80.000000
1525.155000,-80.000000
1525.160000,-80.000000
1525.165000,-80.000000
1525.170000,-78.705070
1525.175000,-77.881024
1525.180000,-80.000000
1525.185000,-80.000000
1525.190000,-80.000000
1525.195000,-80.000000
1525.200000,-78.352252
1525.205000,-74.629562
1525.210000,-80.000000
1525.215000,-80.000000
1525.220000,-80.000000
1525.225000,-80.000000
1525.230000,-80.000000
1525.235000,-80.000000
1525.240000,-80.000000
1525.245000,-80.000000
1525.250000,-80.000000
1525.255000,-80.000000
1525.260000,-80.000000
1525.265000,-80.000000
1525.270000,-80.000000
1525.275000,-80.000000
1525.280000,-80.000000
1525.285000,-80.000000
1525.290000,-80.000000
1525.295000,-80.000000
1525.300000,-80.000000
1525.305000,-80.000000
1525.310000,-70.777871
1525.315000,-79.231489
1525.320000,-80.000000
1525.325000,-80.000000
1525.330000,-80.000000
1525.335000,-80.000000
1525.340000,-80.000000
1525.345000,-80.000000
1525.350000,-80.000000
1525.355000,-80.000000
1525.360000,-76.247103
1525.365000,-78.932102
1525.370000,-80.000000
1525.375000,-80.000000
1525.380000,-80.000000
1525.385000,-80.000000
1525.390000,-78.016452
1525.395000,-79.486115
1525.400000,-80.000000
1525.405000,-78.184644
1525.410000,-79.471498
1525.415000,-80.000000
1525.420000,-80.000000
1525.425000,-80.000000
1525.430000,-75.700841
1525.435000,-72.805605
1525.440000,-79.343903
1525.445000,-73.876431
1525.450000,-77.742463
1525.455000,-80.000000
1525.460000,-77.192450
1525.465000,-71.030243
1525.470000,-71.304976
1525.475000,-78.008204
1525.480000,-80.000000
1525.485000,-80.000000
1525.490000,-80.000000
1525.495000,-80.000000
1525.500000,-80.000000
1525.505000,-80.000000
1525.510000,-80.000000
1525.515000,-80.000000
1525.520000,-80.000000
1525.525000,-80.000000
1525.530000,-80.000000
1525.535000,-80.000000
1525.540000,-80.000000
1525.545000,-80.000000
1525.550000,-80.000000
1525.555000,-79.894329
1525.560000,-79.884986
1525.565000,-80.000000
1525.570000,-80.000000
1525.575000,-80.000000
1525.580000,-80.000000
1525.585000,-80.000000
1525.590000,-78.088537
1525.595000,-69.736265
1525.600000,-73.520033
1525.605000,-80.000000
1525.610000,-71.653968
1525.615000,-78.809509
1525.620000,-80.000000
1525.625000,-80.000000
1525.630000,-80.000000
1525.635000,-80.000000
1525.640000,-76.052364
1525.645000,-74.996412
1525.650000,-80.000000
1525.655000,-78.102006
1525.660000,-75.353711
1525.665000,-80.000000
1525.670000,-80.000000
1525.675000,-78.911783
1525.680000,-74.690919
1525.685000,-71.912104
1525.690000,-73.453166
1525.695000,-79.413646
1525.700000,-74.461365
1525.705000,-76.785614
1525.710000,-74.147954
1525.715000,-80.000000
1525.720000,-78.602102
1525.725000,-74.931430
1525.730000,-80.000000
1525.735000,-80.000000
1525.740000,-80.000000
