WL,Power
1524.000000,-78.899372
1524.005000,-73.396234
1524.010000,-78.375264
1524.015000,-78.719400
1524.020000,-78.750942
1524.025000,-77.597436
1524.030000,-72.616978
1524.035000,-76.004518
1524.040000,-79.773841
1524.045000,-80.000000
1524.050000,-76.578045
1524.055000,-78.212654
1524.060000,-77.969464
1524.065000,-78.412731
1524.070000,-80.000000
1524.075000,-80.000000
1524.080000,-80.000000
1524.085000,-80.000000
1524.090000,-72.327006
1524.095000,-80.000000
1524.100000,-80.000000
1524.105000,-76.550926
1524.110000,-75.029379
1524.115000,-79.914143
1524.120000,-80.000000
1524.125000,-73.299438
1524.130000,-79.586725
1524.135000,-76.749462
1524.140000,-80.000000
1524.145000,-80.000000
1524.150000,-80.000000
1524.155000,-80.000000
1524.160000,-80.000000
1524.165000,-80.000000
1524.170000,-80.000000
1524.175000,-80.000000
1524.180000,-80.000000
1524.185000,-80.000000
1524.190000,-75.330205
1524.195000,-75.402270
1524.200000,-80.000000
1524.205000,-80.000000
1524.210000,-79.390190
1524.215000,-76.430790
1524.220000,-73.311465
1524.225000,-80.000000
1524.230000,-80.000000
1524.235000,-80.000000
1524.240000,-78.838428
1524.245000,-74.732099
1524.250000,-78.833574
1524.255000,-75.894182
1524.260000,-80.000000
1524.265000,-75.547581
1524.270000,-76.761877
1524.275000,-73.326279
1524.280000,-80.000000
1524.285000,-80.000000
1524.290000,-80.000000
1524.295000,-80.000000
1524.300000,-80.000000
1524.305000,-80.000000
1524.310000,-80.000000
1524.315000,-80.000000
1524.320000,-80.000000
1524.325000,-80.000000
1524.330000,-80.000000
1524.335000,-80.000000
1524.340000,-78.849592
1524.345000,-77.631180
1524.350000,-79.629516
1524.355000,-76.542151
1524.360000,-79.354741
1524.365000,-80.000000
1524.370000,-80.000000
1524.375000,-80.000000
1524.380000,-80.000000
1524.385000,-80.000000
1524.390000,-77.406708
1524.395000,-79.107847
1524.400000,-80.000000
1524.405000,-80.000000
1524.410000,-80.000000
1524.415000,-80.000000
1524.420000,-80.000000
1524.425000,-75.893090
1524.430000,-72.030022
1524.435000,-76.721361
1524.440000,-76.976508
1524.445000,-77.663665
1524.450000,-80.000000
1524.455000,-80.000000
1524.460000,-73.501963
1524.465000,-80.000000
1524.470000,-80.000000
1524.475000,-80.000000
1524.480000,-80.000000
1524.485000,-80.000000
1524.490000,-80.000000
1524.495000,-80.000000
1524.500000,-80.000000
1524.505000,-78.354936
1524.510000,-79.906883
1524.515000,-74.637580
1524.520000,-78.973154
1524.525000,-80.000000
1524.530000,-80.000000
1524.535000,-74.958121
1524.540000,-76.527277
1524.545000,-80.000000
1524.550000,-80.000000
1524.555000,-80.000000
1524.560000,-76.572597
1524.565000,-73.976786
1524.570000,-80.000000
1524.575000,-80.000000
1524.580000,-77.305784
1524.585000,-74.961815
1524.590000,-80.000000
1524.595000,-80.000000
1524.600000,-80.000000
1524.605000,-80.000000
1524.610000,-80.000000
1524.615000,-80.000000
1524.620000,-80.000000
1524.625000,-80.000000
1524.630000,-80.000000
1524.635000,-79.214578
1524.640000,-77.154981
1524.645000,-80.000000
1524.650000,-80.000000
1524.655000,-77.025662
1524.660000,-71.242863
1524.665000,-78.998416
1524.670000,-80.000000
1524.675000,-80.000000
1524.680000,-80.000000
1524.685000,-80.000000
1524.690000,-80.000000
1524.695000,-80.000000
1524.700000,-80.000000
1524.705000,-80.000000
1524.710000,-80.000000
1524.715000,-80.000000
1524.720000,-80.000000
1524.725000,-80.000000
1524.730000,-80.000000
1524.735000,-80.000000
1524.740000,-79.870507
1524.745000,-76.633183
1524.750000,-72.480003
1524.755000,-76.406819
1524.760000,-80.000000
1524.765000,-80.000000
1524.770000,-80.000000
1524.775000,-80.000000
1524.780000,-78.266593
1524.785000,-72.400202
1524.790000,-78.250659
1524.795000,-68.752292
1524.800000,-78.153844
1524.805000,-76.104621
1524.810000,-80.000000
1524.815000,-80.000000
1524.820000,-80.000000
1524.825000,-72.563686
1524.830000,-80.000000
1524.835000,-80.000000
1524.840000,-78.712343
1524.845000,-78.444830
1524.850000,-80.000000
1524.855000,-80.000000
1524.860000,-80.000000
1524.865000,-80.000000
1524.870000,-80.000000
1524.875000,-80.000000
1524.880000,-75.615710
1524.885000,-77.741426
1524.890000,-80.000000
1524.895000,-80.000000
1524.900000,-80.000000
1524.905000,-80.000000
1524.910000,-78.566235
1524.915000,-75.271319
1524.920000,-75.184808
1524.925000,-80.000000
1524.930000,-78.498639
1524.935000,-69.052580
1524.940000,-80.000000
1524.945000,-80.000000
1524.950000,-80.000000
1524.955000,-78.790603
1524.960000,-75.138699
1524.965000,-80.000000
1524.970000,-80.000000
1524.975000,-77.460992
1524.980000,-69.414696
1524.985000,-74.966830
1524.990000,-79.159967
1524.995000,-74.928146
1525.000000,-71.655016
1525.005000,-78.650005
1525.010000,-80.000000
1525.015000,-80.000000
1525.020000,-78.373196
1525.025000,-74.745769
1525.030000,-79.205950
1525.035000,-78.719400
1525.040000,-80.000000
1525.045000,-75.853691
1525.050000,-72.604056
1525.055000,-76.583148
1525.060000,-77.835299
1525.065000,-71.820294
1525.070000,-80.000000
1525.075000,-75.604242
1525.080000,-78.530774
1525.085000,-80.000000
1525.090000,-77.440981
1525.095000,-75.187460
1525.100000,-80.000000
1525.105000,-80.000000
1525.110000,-72.722899
1525.115000,-77.487668
1525.120000,-79.001211
1525.125000,-79.192423
1525.130000,-80.000000
1525.135000,-80.000000
1525.140000,-80.000000
1525.145000,-80.000000
1525.150000,-80.000000
1525.155000,-80.000000
1525.160000,-80.000000
1525.165000,-80.000000
1525.170000,-80.000000
1525.175000,-80.000000
1525.180000,-78.206203
1525.185000,-79.107847
1525.190000,-80.000000
1525.195000,-80.000000
1525.200000,-78.508939
1525.205000,-72.380460
1525.210000,-75.206598
1525.215000,-80.000000
1525.220000,-80.000000
1525.225000,-80.000000
1525.230000,-80.000000
1525.235000,-80.000000
1525.240000,-80.000000
1525.245000,-80.000000
1525.250000,-73.925789
1525.255000,-74.999843
1525.260000,-80.000000
1525.265000,-80.000000
1525.270000,-80.000000
1525.275000,-80.000000
1525.280000,-80.000000
1525.285000,-79.101928
1525.290000,-73.100388
1525.295000,-80.000000
1525.300000,-80.000000
1525.305000,-80.000000
1525.310000,-80.000000
1525.315000,-80.000000
1525.320000,-79.482736
1525.325000,-68.218029
1525.330000,-75.765084
1525.335000,-80.000000
1525.340000,-80.000000
1525.345000,-80.000000
1525.350000,-77.008196
1525.355000,-75.952265
1525.360000,-80.000000
1525.365000,-80.000000
1525.370000,-80.000000
1525.375000,-80.000000
1525.380000,-80.000000
1525.385000,-80.000000
1525.390000,-80.000000
1525.395000,-80.000000
1525.400000,-76.695890
1525.405000,-79.601555
1525.410000,-80.000000
1525.415000,-80.000000
1525.420000,-76.060074
1525.425000,-77.800455
1525.430000,-80.000000
1525.435000,-80.000000
1525.440000,-80.000000
1525.445000,-80.000000
1525.450000,-80.000000
1525.455000,-80.000000
1525.460000,-80.000000
1525.465000,-80.000000
1525.470000,-80.000000
1525.475000,-80.000000
1525.480000,-80.000000
1525.485000,-80.000000
1525.490000,-80.000000
1525.495000,-78.751318
1525.500000,-76.978497
1525.505000,-80.000000
1525.510000,-80.000000
1525.515000,-80.000000
1525.520000,-80.000000
1525.525000,-80.000000
1525.530000,-75.781609
1525.535000,-72.870407
1525.540000,-78.675297
1525.545000,-80.000000
1525.550000,-80.000000
1525.555000,-80.000000
1525.560000,-80.000000
1525.565000,-80.000000
1525.570000,-79.901430
1525.575000,-75.948129
1525.580000,-78.445856
1525.585000,-72.578169
1525.590000,-80.000000
1525.595000,-78.480012
1525.600000,-71.740443
1525.605000,-80.000000
1525.610000,-80.000000
1525.615000,-80.000000
1525.620000,-80.000000
1525.625000,-80.000000
1525.630000,-80.000000
1525.635000,-77.849136
1525.640000,-72.279511
1525.645000,-73.618441
1525.650000,-80.000000
1525.655000,-80.000000
1525.660000,-80.000000
1525.665000,-80.000000
1525.670000,-79.923855
1525.675000,-79.796206
1525.680000,-80.000000
1525.685000,-78.583051
1525.690000,-74.433436
1525.695000,-76.091950
1525.700000,-80.000000
1525.705000,-80.000000
1525.710000,-80.000000
1525.715000,-79.561683
1525.720000,-72.644826
1525.725000,-80.000000
1525.730000,-80.000000
1525.735000,-75.248798
1525.740000,-73.953015
1525.745000,-79.082577
1525.750000,-71.129337
1525.755000,-71.984168
1525.760000,-78.272290
1525.765000,-75.664426
1525.770000,-80.000000
1525.775000,-79.300145
1525.780000,-74.497689
1525.785000,-79.324278
1525.790000,-80.000000
1525.795000,-80.000000
1525.800000,-76.336182
1525.805000,-72.289615
1525.810000,-75.897596
1525.815000,-79.496196
1525.820000,-74.239165
1525.825000,-75.710670
1525.830000,-80.000000
1525.835000,-78.240014
1525.840000,-71.050149
1525.845000,-73.176108
1525.850000,-79.613742
1525.855000,-80.000000
1525.860000,-80.000000
1525.865000,-80.000000
1525.870000,-80.000000
1525.875000,-80.000000
1525.880000,-80.000000
1525.885000,-80.000000
1525.890000,-80.000000
1525.895000,-80.000000
1525.900000,-80.000000
1525.905000,-80.000000
1525.910000,-74.710737
1525.915000,-72.278105
1525.920000,-73.967898
1525.925000,-79.776885
1525.930000,-80.000000
1525.935000,-80.000000
1525.940000,-80.000000
1525.945000,-76.907852
